"","tip_names_in_data_matrix","kingdom","phylum","subphylum","class","subclass","infraclass","cohort","order","suborder","infraorder","superfamily","family","subfamily","genus","species","metamorphosis","gs_value","gs_sd","gs_cv","best_method","n_records"
"1","Archaeognatha_Machilis_hrabei","Metazoa","Arthropoda","Hexapoda","Insecta","Monocondylia","no_rank","no_rank","Archaeognatha","no_rank","no_rank","no_rank","Machilidae","no_rank","Machilis","Machilis hrabei","Incomplete",3061.14,NA,NA,"FCM",1
"2","Blattodea_Balta_vilis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Pseudophyllodromiidae","no_rank","Balta","Balta vilis","Incomplete",2904.66,NA,NA,"FIA",1
"3","Blattodea_Blaptica_dubia","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blaberidae","Blaberinae","Blaptica","Blaptica dubia","Incomplete",4552.59,159.056599360102,0.0349376068040615,"FIA",2
"4","Blattodea_Blatta_orientalis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blattoidea","Blattidae","Blattinae","Blatta","Blatta orientalis","Incomplete",2963.34,NA,NA,"FIA",1
"5","Blattodea_Blattella_germanica","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blattellidae","no_rank","Blattella","Blattella germanica","Incomplete",1956,NA,NA,"FD",1
"6","Blattodea_Cryptocercus_punctulatus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blattoidea","Cryptocercidae","no_rank","Cryptocercus","Cryptocercus punctulatus","Incomplete",1290.96,NA,NA,"FIA",1
"7","Blattodea_Ischnoptera_deropeltiformis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blattellidae","no_rank","Ischnoptera","Ischnoptera deropeltiformis","Incomplete",2366.76,NA,NA,"FIA",1
"8","Blattodea_Nauphoeta_cinerea","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blaberidae","Oxyhaloinae","Nauphoeta","Nauphoeta cinerea","Incomplete",5036.7,NA,NA,"FIA",1
"9","Blattodea_Panchlora_nivea","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blaberidae","Panchlorinae","Panchlora","Panchlora nivea","Incomplete",1486.56,NA,NA,"FCM",1
"10","Blattodea_Periplaneta_americana","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blattoidea","Blattidae","Blattinae","Periplaneta","Periplaneta americana","Incomplete",3334.98,NA,NA,"FCM",1
"11","Blattodea_Periplaneta_fuliginosa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blattoidea","Blattidae","Blattinae","Periplaneta","Periplaneta fuliginosa","Incomplete",4430.34,NA,NA,"FIA",1
"12","Blattodea_Pycnoscelus_nigra","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blaberidae","Pycnoscelinae","Pycnoscelus","Pycnoscelus nigra","Incomplete",7325.22,NA,NA,"FIA",1
"13","Blattodea_Schultesia_lampyridiformis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Blattodea","no_rank","no_rank","Blaberoidea","Blaberidae","Zetoborinae","Schultesia","Schultesia lampyridiformis","Incomplete",4019.58,NA,NA,"FIA",1
"14","Coleoptera_Acanthoscelides_obtectus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Bruchinae","Acanthoscelides","Acanthoscelides obtectus","Complete",948.66,NA,NA,"FCM",1
"15","Coleoptera_Adalia_bipunctata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Adalia","Adalia bipunctata","Complete",352.08,NA,NA,"FIA",1
"16","Coleoptera_Agrilus_planipennis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Elateriformia","Buprestoidea","Buprestidae","Agrilinae","Agrilus","Agrilus planipennis","Complete",482.11,17.6776695296637,0.0366672948697677,NA,2
"17","Coleoptera_Alphitobius_diaperinus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Tenebrioninae","Alphitobius","Alphitobius diaperinus","Complete",273.84,NA,NA,"FD",1
"18","Coleoptera_Ammobius_rufus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Blaptinae","Ammobius","Ammobius rufus","Complete",332.52,NA,NA,"FD",1
"19","Coleoptera_Anoplophora_glabripennis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Cerambycidae","Lamiinae","Anoplophora","Anoplophora glabripennis","Complete",976.03,7.62261110119096,0.00780981230207162,NA,2
"20","Coleoptera_Anthonomus_grandis_grandis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Curculionoidea","Curculionidae","Curculioninae","Anthonomus","Anthonomus grandis","Complete",831.3,NA,NA,"FCM",1
"21","Coleoptera_Callosobruchus_chinensis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Bruchinae","Callosobruchus","Callosobruchus chinensis","Complete",733.5,NA,NA,"FCM",1
"22","Coleoptera_Carabus_uenoi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Adephaga","no_rank","Caraboidea","Carabidae","Carabinae","Carabus","Carabus uenoi","Complete",283.62,NA,NA,"FCM",1
"23","Coleoptera_Chrysochus_auratus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Eumolpinae","Chrysochus","Chrysochus auratus","Complete",2070.77,NA,NA,NA,1
"24","Coleoptera_Chrysomela_populi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Chrysomelinae","Chrysomela","Chrysomela populi","Complete",342.3,NA,NA,"FD",1
"25","Coleoptera_Coccinella_septempunctata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Coccinella","Coccinella septempunctata","Complete",420.54,NA,NA,"FCM",1
"26","Coleoptera_Coleomegilla_maculata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Coleomegilla","Coleomegilla maculata","Complete",185.82,NA,NA,"FIA",1
"27","Coleoptera_Cossyphus_hoffmannseggi","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Lagriinae","Cossyphus","Cossyphus hoffmannseggi","Complete",479.22,NA,NA,"FD",1
"28","Coleoptera_Cryptolaemus_montrouzieri","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Scymninae","Cryptolaemus","Cryptolaemus montrouzieri","Complete",782.4,NA,NA,"FIA",1
"29","Coleoptera_Cynegetis_impunctata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Epilachninae","Cynegetis","Cynegetis impunctata","Complete",498.78,NA,NA,"FIA",1
"30","Coleoptera_Delphastus_catalinae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Sticholotidinae","Delphastus","Delphastus catalinae","Complete",303.18,NA,NA,"FIA",1
"31","Coleoptera_Harmonia_axyridis_red","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Harmonia","Harmonia axyridis","Complete",459.66,NA,NA,"FCM",1
"32","Coleoptera_Harmonia_dimidiata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Harmonia","Harmonia dimidiata","Complete",312.96,NA,NA,"FIA",1
"33","Coleoptera_Henosepilachna_vigintioctomaculata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Epilachninae","Henosepilachna","Henosepilachna vigintioctomaculata","Complete",1193.16,NA,NA,"FCM",1
"34","Coleoptera_Henosepilachna_vigintioctopunctata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Epilachninae","Henosepilachna","Henosepilachna vigintioctopunctata","Complete",655.26,NA,NA,"FCM",1
"35","Coleoptera_Hippodamia_convergens","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Hippodamia","Hippodamia convergens","Complete",420.54,NA,NA,"FIA",1
"36","Coleoptera_Lasioderma_serricorne","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Bostrichiformia","Bostrichoidea","Ptinidae","Xyletininae","Lasioderma","Lasioderma serricorne","Complete",201.96,NA,NA,NA,1
"37","Coleoptera_Leptinotarsa_decemlineata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Chrysomelinae","Leptinotarsa","Leptinotarsa decemlineata","Complete",449.88,NA,NA,"FD",1
"38","Coleoptera_Odontotaenius_disjunctus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Scarabaeiformia","Scarabaeoidea","Passalidae","no_rank","Odontotaenius","Odontotaenius disjunctus","Complete",733.5,NA,NA,"FCM",1
"39","Coleoptera_Oenopia_conglobata","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Oenopia","Oenopia conglobata","Complete",420.54,NA,NA,"FIA",1
"40","Coleoptera_Onthophagus_taurus","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Scarabaeiformia","Scarabaeoidea","Scarabaeidae","Scarabaeinae","Onthophagus","Onthophagus taurus","Complete",297.11,10.0692005640964,0.0338904801726514,NA,2
"41","Coleoptera_Ophraella_communa","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Galerucinae","Ophraella","Ophraella communa","Complete",586.8,NA,NA,"FD",1
"42","Coleoptera_Oryzaephilus_surinamensis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Cucujoidea","Silvanidae","Silvaninae","Oryzaephilus","Oryzaephilus surinamensis","Complete",185.82,50.8183706940709,0.273481706458244,"FCM",3
"43","Coleoptera_Phaedon_cochleariae","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Chrysomelinae","Phaedon","Phaedon cochleariae","Complete",508.56,NA,NA,"FD",1
"44","Coleoptera_Popillia_japonica","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Scarabaeiformia","Scarabaeoidea","Scarabaeidae","Rutelinae","Popillia","Popillia japonica","Complete",582.8,NA,NA,NA,1
"45","Coleoptera_Stegobium_paniceum","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Bostrichiformia","Bostrichoidea","Ptinidae","Anobiinae","Stegobium","Stegobium paniceum","Complete",342.3,NA,NA,"FCM",1
"46","Coleoptera_Tenebrio_molitor","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Tenebrioninae","Tenebrio","Tenebrio molitor","Complete",508.56,NA,NA,"FD",1
"47","Coleoptera_Tribolium_brevicornis","Metazoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","no_rank","Tribolium","Tribolium brevicornis","Complete",381.42,NA,NA,"FD",1
